{Stromstärke $I$ / nA };{Gegenspannung $U$ / V}
2.000;0.01
1.750;0.10
1.550;0.20
1.300;0.30
1.150;0.40
0.850;0.50
0.650;0.60
0.380;0.70
0.205;0.80
0.075;0.90
0;0.97
