{Stromstärke $I$ / nA };{Gegenspannung $U$ / V}
0.650;0.01
0.600;0.10
0.520;0.21
0.460;0.30
0.380;0.40
0.320;0.50
0.260;0.60
0.190;0.70
0.125;0.81
0.060;0.93
0.020;1.02
0;1.19
