{Stromstärke $I$ / nA };{Gegenspannung $U$ / V}
0.010;0.01
0.008;0.05
0.008;0.09
0.006;0.13
0.006;0.17
0.004;0.21
0.004;0.25
0.002;0.29
0.002;0.33
0.002;0.37
0;0.41
