{Stromstärke $I$ / nA };{Gegenspannung $U$ / V}
0.940;0.01
0.820;0.06
0.740;0.11
0.660;0.16
0.580;0.22
0.440;0.27
0.340;0.32
0.225;0.38
0.135;0.43
0.050;0.50
0;0.57
